EXP;GIRL;AGE;TIREDNESS;SLEEP;HEIGHT;WEIGHT;DEP1;DEP2;DEP3;DEP4;IG;IGPHOTOS1;IGPHOTOS2;INTER1;INTER2;INTER3;INTER4;INTER5;APP1;APP2;APP3;APP4;APP5;APP6;APP7;APP8;APP9;APP10;SELF1;SELF2;SELF3;SELF4;SELF5;SCHEM1;SCHEM2;SCHEM3;SCHEM4;SCHEM5;SCHEM6;SCHEM7;SCHEM8;SCHEM9;SHCEM10;MEMORY1;MEMORY2;BD1;BD2;BD3;BD4;BD5;BD6;BD7;BD8;BD9;ATT1;ATT2;COM1;COM2;BMI
1;1;16;4;5;164;50;5;3;5;3;5;2;4;4;5;4;5;4;5;5;5;5;4;4;5;5;4;4;3;3;4;3;4;2;4;4;5;1;3;1;2;5;2;2;2;3;1;2;2;3;1;1;1;1;4;2;3;4;18,5901249256395
1;1;14;2;1;163;52;2;1;2;2;1;1;1;2;3;1;1;2;5;5;5;5;4;5;4;5;5;4;4;4;4;4;4;1;1;1;2;1;1;1;1;1;2;2;2;1;1;1;1;1;1;5;1;5;2;4;1;4;19,5716812826979
1;0;15;2;2;178;63;1;1;1;1;4;2;4;1;1;1;1;1;3;3;3;4;3;4;2;4;5;4;3;3;3;3;4;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;99;1;1;1;1;2;3;2;4;19,8838530488575
0;1;14;2;3;168;57;2;1;2;4;5;2;4;1;1;1;1;1;4;5;5;5;4;5;4;5;5;5;3;4;4;4;4;4;1;3;5;1;4;5;2;1;2;2;2;1;1;1;5;3;3;5;3;2;4;3;4;3;20,1955782312925
1;1;13;2;2;163;67;1;1;1;1;3;2;3;2;2;2;2;1;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;2;4;3;4;4;4;4;3;2;2;2;2;1;1;1;2;1;2;1;3;2;2;3;25,2173585757838
1;0;13;3;1;170;48;2;1;2;1;4;2;3;1;1;1;1;1;1;4;5;4;2;4;3;1;5;4;3;3;3;4;4;1;1;1;3;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;3;1;3;4;16,6089965397924
1;0;15;2;2;172;65;1;1;1;1;3;2;3;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;4;2;3;2;4;21,9713358572201
0;0;13;3;2;160;50;3;2;3;3;5;5;5;3;3;3;3;4;1;2;2;3;1;2;3;1;2;1;1;1;2;2;2;3;2;2;5;3;3;2;2;4;4;2;2;5;4;4;4;4;3;4;3;3;3;1;2;1;19,53125
1;0;15;3;5;185;60;3;1;3;4;3;5;2;4;5;3;3;4;5;5;5;4;4;5;4;4;5;3;3;4;3;2;4;4;5;4;5;2;5;2;5;5;5;2;2;2;1;1;2;2;1;5;1;5;3;3;3;2;17,5310445580716
0;1;13;3;4;161;49;3;4;4;3;1;1;1;1;1;1;1;1;4;3;4;3;4;3;4;3;4;3;3;3;3;3;3;2;4;1;3;1;2;2;3;3;3;2;2;3;3;2;3;4;4;3;4;3;2;3;2;2;18,9035916824197
1;0;16;2;2;192;80;4;5;4;3;5;2;5;3;5;5;4;3;5;5;5;5;3;5;5;1;5;5;3;4;4;4;4;1;1;1;5;1;5;1;1;5;1;2;2;1;1;1;5;1;1;2;5;2;2;3;2;4;21,7013888888889
0;1;14;4;4;165;59;3;3;3;3;4;4;4;2;2;2;3;3;3;3;2;3;4;4;4;3;2;2;3;99;99;4;3;3;5;5;3;5;3;5;4;5;4;1;1;4;3;2;3;2;3;2;3;2;4;3;99;4;21,6712580348944
0;1;13;2;2;158;47;1;1;1;1;3;1;3;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;1;1;2;5;2;1;1;1;2;1;2;2;1;1;1;1;2;3;1;1;1;3;3;3;4;18,8271110398974
0;0;15;1;1;171;53;2;1;2;2;1;1;2;1;1;1;1;1;4;4;99;4;2;5;3;2;4;99;4;4;3;3;99;1;1;1;99;1;1;1;1;1;2;2;2;1;1;1;99;99;5;3;1;3;2;2;1;3;18,1252351150781
1;0;16;4;1;175;62;1;1;1;1;5;1;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;1;2;4;3;4;4;5;4;1;5;1;5;4;5;5;1;2;2;1;1;2;1;4;1;5;1;5;2;1;2;4;20,2448979591837
1;0;16;3;3;175;86;1;1;1;2;1;1;1;4;5;5;5;3;2;3;2;2;2;2;2;1;2;1;2;2;2;2;2;4;3;3;4;3;3;2;2;4;2;2;2;5;4;4;5;5;5;5;5;5;3;1;2;4;28,0816326530612
0;1;18;3;3;168;49;4;1;2;4;5;3;3;1;4;3;1;1;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;3;3;4;17,3611111111111
0;0;13;3;3;150;35;3;2;3;2;4;2;3;4;4;3;4;5;3;4;4;3;3;4;3;2;4;3;3;4;4;4;4;3;2;1;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;2;3;2;2;2;15,5555555555556
1;0;13;3;4;152;50;3;3;3;4;3;3;3;5;4;4;5;4;5;4;5;4;5;4;5;4;4;4;3;3;3;3;3;4;2;5;5;4;4;2;2;4;5;2;2;4;4;4;4;4;3;4;3;3;4;1;4;4;21,6412742382271
1;1;13;3;2;152;40;4;99;2;3;1;1;1;3;2;3;1;3;5;4;5;5;4;5;4;5;5;5;4;3;3;2;3;1;2;1;3;2;1;1;1;1;1;2;2;1;1;1;2;1;1;5;1;5;2;3;2;99;17,3130193905817
1;1;15;3;3;162;52;2;1;3;2;1;1;1;1;1;1;1;1;5;5;5;5;4;5;5;5;5;5;4;4;4;4;4;1;2;1;1;5;1;1;1;2;1;2;2;1;2;1;1;1;1;1;2;1;1;2;2;4;19,8140527358634
1;1;15;3;3;175;55;3;3;3;3;5;3;3;4;2;4;2;4;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;17,9591836734694
0;0;15;3;2;170;65;2;2;2;2;4;2;4;5;5;4;5;5;4;2;3;3;4;3;4;2;4;3;3;3;3;3;3;2;4;2;4;4;1;1;3;5;2;2;2;2;1;4;3;3;2;4;2;4;2;2;2;1;22,4913494809689
1;0;18;3;2;170;60;1;1;2;3;3;2;3;1;1;3;1;99;99;99;2;3;4;4;99;99;4;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;5;5;1;5;1;5;2;4;2;4;20,7612456747405
0;0;13;3;2;165;55;3;1;3;3;3;3;3;5;5;5;5;5;3;3;3;3;3;3;3;3;3;2;2;3;3;2;3;4;5;5;4;4;4;4;4;5;4;2;2;5;5;5;5;4;5;5;2;5;4;1;3;3;20,2020202020202
1;0;16;3;3;170;56;2;1;4;3;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;3;3;3;19,3771626297578
1;0;13;1;1;168;46;1;1;1;1;4;4;4;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;2;2;1;1;5;5;5;1;5;1;5;2;2;2;2;16,2981859410431
0;0;14;2;4;184;99;3;3;3;3;3;2;4;3;3;5;5;3;2;2;3;2;2;3;2;3;3;1;2;2;2;99;99;1;1;3;99;4;3;3;1;1;3;2;2;3;5;4;3;99;5;99;5;4;2;1;2;3;29,2414933837429
